iter	Logloss
0	0.6863536405
1	0.6804015546
2	0.6745603759
3	0.6681159296
4	0.6625823889
5	0.6563352083
6	0.6510451749
7	0.6451443919
8	0.6388216072
9	0.6329949859
10	0.6263644884
11	0.6210965709
12	0.6140476156
13	0.6093988908
14	0.6038918331
15	0.5993403717
16	0.5942093889
17	0.5898168785
18	0.5849291125
19	0.5806569137
20	0.5763625646
21	0.5712165729
22	0.5669631813
23	0.5622975199
24	0.5580959449
25	0.5534218394
26	0.5490498803
27	0.5446977273
28	0.5399895846
29	0.5358520307
30	0.5318577583
31	0.5287931377
32	0.5254243597
33	0.5219453308
34	0.5182471359
35	0.5146331982
36	0.5112181431
37	0.5085896663
38	0.5053677705
39	0.503068012
40	0.5004085964
41	0.49756178
42	0.4955458134
43	0.4929951304
44	0.4902277555
45	0.4876615698
46	0.4845255994
47	0.4820142249
48	0.4795720869
49	0.4769262863
50	0.4749202097
51	0.4725547156
52	0.4696908152
53	0.4674247088
54	0.4651664925
55	0.4627405479
56	0.4611162553
57	0.4591954687
58	0.457129561
59	0.4554815328
60	0.453094062
61	0.4511368836
62	0.4489816732
63	0.4464347082
64	0.44458378
65	0.4427474249
66	0.4410338671
67	0.4391217403
68	0.4375668389
69	0.4360009754
70	0.4345949416
71	0.4333512055
72	0.4313408706
73	0.4298043324
74	0.4284082382
75	0.4271398856
76	0.4258402783
77	0.4239714934
78	0.4226176293
79	0.421253034
80	0.4196069564
81	0.4181638723
82	0.4171213334
83	0.4158602064
84	0.4146644105
85	0.4133716418
86	0.4117350894
87	0.410461302
88	0.4091901856
89	0.4078716023
90	0.4064153709
91	0.4057412966
92	0.4045640923
93	0.4037868838
94	0.4025481905
95	0.4016884777
96	0.400613679
97	0.3994848949
98	0.3981442621
99	0.3972696804
100	0.3960533033
101	0.3951487347
102	0.3944620212
103	0.3934702502
104	0.3925038208
105	0.3916670472
106	0.3909657955
107	0.3897629408
108	0.3888609379
109	0.3881719901
110	0.3872012206
111	0.3862539447
112	0.3851793034
113	0.3844458309
114	0.3834087822
115	0.3826870578
116	0.3820957345
117	0.3810857771
118	0.3804965161
119	0.3797950119
120	0.3792054354
121	0.3785205023
122	0.3778391921
123	0.376855423
124	0.3759241486
125	0.3752974506
126	0.374460785
127	0.3737239041
128	0.372955997
129	0.3720110053
130	0.3714743539
131	0.3707655018
132	0.3700753975
133	0.3696520242
134	0.3687962278
135	0.3679493791
136	0.3674416877
137	0.366679151
138	0.3660241079
139	0.3654363884
140	0.364836291
141	0.3640521839
142	0.3634510458
143	0.3627343847
144	0.3619065143
145	0.3614819682
146	0.3609699329
147	0.3603504593
148	0.3597000473
149	0.3591539675
150	0.3587007331
151	0.3583160342
152	0.3576908954
153	0.3573113151
154	0.3568437158
155	0.3563271344
156	0.3559143748
157	0.3552851496
158	0.3547259778
159	0.3543181677
160	0.3539329103
161	0.3534803598
162	0.3530042709
163	0.3525024459
164	0.3521041889
165	0.3515568067
166	0.3508711768
167	0.3503708924
168	0.3500296003
169	0.3492452047
170	0.3488501017
171	0.3483242097
172	0.3479982473
173	0.347663389
174	0.3473268876
175	0.3468949207
176	0.3465322297
177	0.3462361509
178	0.3458619211
179	0.345472643
180	0.3451053169
181	0.3447474103
182	0.3444245168
183	0.3439530644
184	0.3436183956
185	0.3434189913
186	0.3430148083
187	0.3424903185
188	0.3421695727
189	0.3416307151
190	0.3410969541
191	0.3407888739
192	0.3404298787
193	0.3400205259
194	0.3395965752
195	0.3393205039
196	0.3389905914
197	0.3387107831
198	0.3383577307
199	0.3381160777
200	0.3376195759
201	0.3373448596
202	0.3370232841
203	0.336646392
204	0.3364084395
205	0.3360790169
206	0.3356996067
207	0.3352990001
208	0.335090315
209	0.3346965906
210	0.3344576328
211	0.333998279
212	0.3336701466
213	0.3334967931
214	0.3331958109
215	0.3328341082
216	0.3324551232
217	0.3322216571
218	0.3318508275
219	0.3316375532
220	0.3312395173
221	0.3310325646
222	0.3306407027
223	0.3303969592
224	0.3300936625
225	0.3298341508
226	0.3296081245
227	0.3292387895
228	0.3289690574
229	0.3286081515
230	0.3283575443
231	0.3280622276
232	0.3278112643
233	0.327519408
234	0.3272637416
235	0.3270332634
236	0.3268333514
237	0.3266157427
238	0.3262601643
239	0.3259674198
240	0.3256397134
241	0.3253868795
242	0.3252428921
243	0.3250822747
244	0.3245865235
245	0.3240870109
246	0.3239042955
247	0.3236644679
248	0.3234106615
249	0.3232299317
250	0.322939352
251	0.322669919
252	0.3223581383
253	0.3221653655
254	0.3219582572
255	0.3216365284
256	0.3214299725
257	0.3211374942
258	0.320894365
259	0.3206035562
260	0.3204617191
261	0.3203898867
262	0.3199924637
263	0.3197084496
264	0.3195363649
265	0.3193261045
266	0.3190682937
267	0.3188988364
268	0.3187745056
269	0.3185042977
270	0.3181742347
271	0.3180107728
272	0.3179199361
273	0.3176491341
274	0.3173243614
275	0.3171331804
276	0.3169011676
277	0.3167192251
278	0.3165646867
279	0.3163076829
280	0.3160468533
281	0.3156812849
282	0.3154955918
283	0.3152961005
284	0.3149967271
285	0.3148417583
286	0.3145429989
287	0.3142281084
288	0.3140038142
