iter	Passed	Remaining
0	59	59625
1	61	30584
2	63	21098
3	64	16028
4	64	12853
5	64	10736
6	64	9216
7	65	8087
8	65	7206
9	65	6532
10	66	5952
11	66	5473
12	67	5127
13	68	4805
14	69	4554
15	69	4299
16	70	4054
17	70	3844
18	70	3653
19	70	3477
20	71	3318
21	72	3201
22	72	3081
23	72	2958
24	72	2845
25	73	2744
26	73	2648
27	73	2558
28	73	2474
29	74	2410
30	75	2372
31	76	2306
32	77	2260
33	77	2210
34	79	2183
35	80	2164
36	81	2109
37	81	2057
38	81	2007
39	81	1960
40	82	1921
41	82	1878
42	83	1866
43	84	1827
44	84	1788
45	84	1752
46	84	1720
47	86	1712
48	86	1680
49	86	1649
50	87	1619
51	87	1590
52	87	1563
53	87	1540
54	88	1514
55	88	1489
56	88	1465
57	88	1441
58	89	1419
59	90	1415
60	90	1394
61	90	1374
62	91	1354
63	91	1338
64	91	1319
65	92	1302
66	92	1285
67	92	1267
68	93	1262
69	93	1246
70	93	1229
71	94	1214
72	94	1199
73	94	1185
74	95	1171
75	96	1171
76	96	1161
77	98	1160
78	98	1147
79	98	1137
80	99	1124
81	99	1111
82	99	1099
83	99	1087
84	100	1079885	101	1073886	101	10687	101	1049
8888	103	1056
89	103	1048
90	104	1039
91	104	1034
92	105	1025
93	105	1019
94	106	1011
95	106	1002
96	106	992
97	106	983
98	107	974
99	107	965
100	107	956
101	103	107	921
104	107	916
105	107	908
106	108	105	109106	109	9108107	1107	111	920
108	112	915
109	112	910
110	112	903
111	112	895
112	113	893
113	114114	1114	114115	1115	114	876
116	115117	1117	115118	115	852
119	1119	116	856
120	117	852
121	118	854
122	118	848
123	119124	1124	120125	1125	121	842
126	122127	122	835
128	123	834
129	123	828
130	124	822
131	124	816
132	124	811
133	124	805
134	124	799
135	125	794
136	125	789
137	125	785
138	126	782
139	127	780
140	127	775
141	127	770
142	127	765
143	128	762
144	129	766
145	130	761
146	130	756
147	130	751
148	130	746
149	131	745
150	131	740
1153	133	731152	133	737
153	133	733
154	133	729
1157	135	719
158	136	720
159	136	717
160	138	719
161	139	722
162	140	719
163	140	715
164	141	715
165	141	712
166	142	710
167	143	708
168	143	705
169	144	703
170	144	700
171	144	696
172	144	692
173	145	689
174	145	685
175	145	681
176	145	678
177	146	677
178	146	6731179	147	670178	146	673
179	147	670
180	147	666
181	147	662
182	147	659
183	147	656
184	148	653
185	149	653
186	150	654
187	150	650
188	150	647
189	151	644
190	151	640
191	151	638
192	152	639
193	153	637
194	153	634
195	154	633
196	154	630
197	154	627
198	155	624
199	155	621
200	155	618
201	155	615
202	155	612
203	156	609
204	156	607
205	156	604
2208	157	5972209	158	5942210	158	5912211	158	5892212	159	587
213	159	585
214	159	582
215	159	579
216	159	577
217	160	574
218	160	571
219	160	570
220	161	567
221	161	567
222	162	567
223	163	565
224	163	563
225	163	560
226	163	558
227	164	555
228	164	554
229	165	553
230	165	551
231	165	548
232	166	546
233	167	546
234	167	544
235	167	541
236	167	539
237	167	5372238	168	5352239	168	5322240	168	5302241	168	528240	167	529
241	168	527
242	170	530
243	171	529
244	171	528
245	172	527
246	172	526
247	172	524
248	173	522
249	173	520
250	173	517
251	173	515
252	173	513
253	174	511
254	174	509
255	174	507
256	17257	182	523
258	182	521
259	182	519
260	182	517
261	183	516
262	183	514
263	183	512
264	183	510
265	184	508
266	184	506
267	184	503
268	189	516
269	190	514
270	190	512
271	190	510
272	190	508
273	191	506
274	191	504
275	191	503
276	192	501
277	192	499
278	192	497
279	192	495
280	192	493
281	193	491
282	193	491
283	194	489
284	194	487
285	194	485
286	194	483
287	194	481
288	195	479
289	195	478
290	195	476
291	196	475
292	196	474
293	197	473
294	197	472
295	198	471
296	198	470
297	199	469
298	199	468
299	200	467
300	200	466
301	201	464
302	201	462
303	201	461
304	201	459
305	202	458
306	202	456
307	203	456
308	203	455
309	203	453
310	204	452
311	204	451
312	204	449
313	205	448
314	205	446
315	205	444
316	205	443
317	205	441
318	206	440
319	206	438
320	206	436
321	206	435
322	206	433
323	207	432
324	207	430
325	207	429
326	207	427
327	207	426
328	208	424
329	208	423
330	208	421
331	208	420
332	208	418
333	209	417
334	209	415
335	209	414
336	209	412
337	209	411
338	210	409
339	210	408
340	210	406
341	210	405
342	210	404
343	211	402
344	211	401
345	211	399
346	211	398
347	212	397
348	212	395
349	212	394
350	212	393
351	212	391
352	213	390
353	213	389
354	213	388
355	213	386
356	213	385
357	214	384
358	214	382
359	214	381
360	214	380
361	214	378
362	215	377
363	215	376
364	215	375
365	215	373
366	216	372
367	216	371
368	216	370
369	216	368
370	216	367
371	217	366
372	217	365
373	217	363
374	217	362
375	217	361
376	218	360
377	218	359
378	218	357
379	219	357
380	219	356
381	219	355
382	219	354
383	220	353
384	220	351
385	220	350
386	220	349
387	220	348
388	221	347
389	221	346
390	221	345
391	221	344
392	222	342
393	222	341
394	222	340
395	222	339
396	222	338
397	223	337
398	223	336
399	223	335
400	223	334
401	223	333
402	224	332
403	224	330
404	224	329
405	224	328
406	224	327
407	225	326
408	225	325
409	225	324
410	225	323
411	226	322
412	226	321
413	226	320
414	226	319
415	226	318
416	227	317
417	227	316
418	227	315
419	227	314
420	227	313
421	228	312
422	228	311
423	228	310
424	228	309
425	229	308
426	229	308
427	230	308
428	231	308
429	231	307
430	231	306
431	232	305
432	232	304
433	232	303
434	233	302
435	233	301
436	233	300
437	233	299
438	234	299
439	234	298
440	234	297
441	235	296
442	235	295
443	235	294
444	235	293
445	235	292
446	236	292
447	236	291
448	236	290
449	236	289
450	237	288
451	237	287
452	237	286
453	237	286
454	238	285
455	238	284
456	238	283
457	238	282
458	238	28459	240	282
460	241	282
461	241	281
462	242	280
463	242	280
464	242	279
465	243	278
466	243	277
467	243	276
468	243	276
469	244	275
470	244	274
471	244	273
472	244	272
473	244	271
474	245	271
475	245	270
476	245	269
477	246	268
478	246	267
479	246	267
480	246	266
481	246	265
482	247	264
483	247	263
484	247	262
485	247	261
486	247	261
487	248	260
488	248	259
489	248	258
490	248	257
491	248	256
492	249	256
493	249	255
494	249	254
495	249	253
496	250	2534497	250	252498	251	252
499	251	251
500	252	251
501	252	250
502	252	249
503	252	248
504	252	247
505	253	247
506	253	246
507	253	245
508	253	244
5509	253	243
510	254	243
511	254	242
512	255	242
513	255	241
514	256	241
515	256	240
516	257	240
517	257	239
518	258	239
519	258	238
520	259	238
521	259	237
522	259	236
523	259	235
524	259	235
525	260	234
526	260	233
527	260	232
528	260	232
529	260	231
530	261	230
531	261	229
532	261	229
533	261	228
534	261	227
535	262	226
536	262	226
537	262	225
538	262	224
539	262	224
540	263	223
541	263	222
542	263	221
543	263	543	264	221
544	264	220
545	264	220
546	264	219
547	265	218
548	265	217
549	265	217
550	265	216
551	265	215
552	266	215
553	266	214
554	266	213
555	266	213
556	267	212
557	267	211
558	267	211
559	267	210
560	268	209
561	268	209
562	268	208
563	268	207
564	269	207
565	269	206
566	269	205
567	270	205
568	270	204
569	270	204
570	270	203
571	271	202
572	271	202
573	273	202
574	273	202
575	274	202
576	274	201
577	275	201
578	275	200
579	276	199
580	276	199
581	276	198
582	276	197
583	277	197
584	277	196
585	277	196
586	277	195
587	277	194
588	278	194
589	278	193
590	278	192
591	278	192
592	278	191
593	280	191
594	280	190
595	280	190
596	280	189
597	281	188
598	281	188
599	281	187
600	281	186
601	281	186
602	282	185
603	282	185
604	282	184
605	282	183
606	285	184
607	285	184
608	286	183
609	286	183
610	286	182
611	286	181
612	286	181
613	287	180
614	287	179
615	287	179
616	287	178
617	287	177
618	288	177
619	288	176
620	288	176
621	288	175
622	288	174
623	289	174
624	289	173
625	289	172
626	289	172
627	289	171
628	290	171
629	290	170
630	290	169
631	291	169
632	291	168
633	291	168
634	291	167
635	292	167
636	292	166
637	292	165
638	292	165
639	292	164
640	293	164
641	293	163
642	293	162
643	293	162
644	293	161
645	294	161
646	294	160
647	294	160
648	294	159
649	295	158
650	295	158
651	295	157
652	295	157
653	296	156
654	296	156
655	296	155
656	296	154
657	296	154
658	297	153
659	297	153
660	297	152
661	297	152
662	298	1664663	298	1665	300	150
666	300	150
667	301	149
668	302	149
669	302	149
670	302	148
671	303	147
672	303	147
673	303	146
674	303	146
675	303	145
676	304	145
677	304	144
678	304	144
679	304	143
680	305	142
681	305	142
682	305	141
683	305	141
684	305	140
685	306	140
686	306	139
687	306	139
688	306	138
689	307	137
690	307	137
691	307	136
692	307	136
693692	307	136
693	307	135
694	307	135
695	307	134
696	308	133
697	308	133
698	308	1700	311	132
701	311	132
702	311	131
703	311	131
704	312	130
705704	311	130
705	311	129
706	311	129
707	311	128
708	312	128
709	312	127
710	312	126
711	312	126
712	312	125
713	313	125
714	313	124
715	315	125
716	316	124
717	316	124
718	318	124
719	318	123
720	318	123
721	318	122
722	319	122
723	319	121
724	319	121
725	320	120
726	320	120
727	322	120
728	322	119
729	322	119
730	323	118
731	323	118
732	323	117
733	323	117
734	323	116
735	324	116
736	324	115
737	324	115
738	324	114
739	324	114
740	325	113
741	325	113
742	325	112
743	744	329	744	745	329	745	326	111
746	326	110
747	326	110
748	327	109
749	327	109
750	327	108
751	327	108
752	327	107
753	328	107
754	328	106
755	328	106
756	757	333	757	758	333	758	759	334	105
760	335	105
761	336	761	333	104
762	763	337	763	764	337	764	765	337	765	766	339	103
767	339	102
768	339	102
769	339	101
770	339	100
771772	338	99
773	339	99
774	339	98
775	339	98
776	340	97
777	340	97
778	340	96
779	340	96
